requestor_type,business_doc_id,business_name
"2","105558004940","บจ.เอดับเบิ้ลยู (ไทยแลนด์) จำกัด"
"2","105558002009","บจ.โจงลี่ เทลซัน โซล่าร์ (ไทยแลนด์) จำกัด"
"2","105558000316","บจ.เอส เมดิคอล จำกัด"
"2","105558000561","บจ.ซี.เอ.เอส.แอสเซท ภูเก็ต จำกัด"
"2","105558005776","บจ.เดอะ เอฟวัน จำกัด"
"2","105558004494","บจ.บ้านพุทธรักษา 2015 จำกัด"
"2","105558015101","บจ.รสสินา จำกัด"
"2","105558008309","บจ.ไซโก โซลูชั่นส์ (ประเทศไทย) จำกัด"
"2","105558013884","บจ.เวิลด์ สมาร์ท เอ็นเนอร์จี จำกัด"
"2","105558003781","บจ.ไพร์ม โรด กรุ๊ป จำกัด"
"2","105558005717","บจ.เทคโทรนิค อินดัสตรี้ส์ (ประเทศไทย) จำกัด"
"2","105558004354","บจ.บ้านรื่นรมย์ 2015 จำกัด"
"2","105558004443","บจ.บ้านพุทธชาติ 2015 จำกัด"
"2","105558006420","บจ.เพรสเซนท์เอสเตท จำกัด"
"2","105558014139","บจ.พีซีโฮม (ประเทศไทย) จำกัด"
"2","105558018410","บจ.ณุศา ลายา จำกัด"
"2","105558010460","บจ.เอสจีเอ็ม เพาเวอร์ เพลเลท จำกัด"
"2","105558001347","บจ.ยากิชิตะ (ประเทศไทย) จำกัด"
"2","105558017936","บจ.กูร์เมท์ พรีโม่ จำกัด"
"2","105558007469","บจ.ปักกิ่ง โกลด์ ซิตี้ ดีเวลลอปเม้นท์ โฮลดิ้งส์ (ประเทศไทย) จำกัด"
"2","105558004907","บจ.เฟิรสท์ คอนเฟคชั่นเนอรี่ จำกัด"
"2","105558018177","บจ.ไอดีลนคร จำกัด"
"2","105558011415","บจ.ยูเอซี แอ็ดวานซ์ โพลิเมอร์ แอนด์ เคมิคัลส์ จำกัด"
"2","105558001371","บจ.โรงแรม สีลม จำกัด"
"2","105558011555","บจ.พี.บี.บี.บี จำกัด"
"2","105558012403","บจ.อีโตชู เอ็นเตอร์ไพรซ์ (ไทยแลนด์) จำกัด"
"2","105558000707","บจ.เคแอลเจ อินเตอร์เนชั่นแนล จำกัด"
"2","105558013523","บจ.พรีซิชั่น คอนเวิร์ทติ้ง จำกัด"
"2","105558018886","บจ.ศุภากร โฮลดิ้ง จำกัด"
"2","105558004834","บจ.เอ็กซ์ซีเอ็มจี แมชชีนเนอรี่ เซลส์ แอนด์ เซอร์วิส (ไทยแลนด์) จำกัด"
"2","105558000596","บจ.อายิโนะโมะโต๊ะ เอสอีเอ รีเจียนัล เฮดควอเตอส์ จำกัด"
"2","105558001452","บจ.ดีเอ็นเอ เน็ทเวิร์ค แอนด์ เอ็นจิเนียริ่ง จำกัด"
"2","105558011806","บจ.ดีเอ็นเอ รีเทล ลิ้งค์ จำกัด"
"2","105558001916","บจ.ไอ-สเตย์ เรียลเอสเตท จำกัด"
"2","105558013175","บจ.พรประภาและบุตร จำกัด"
"2","105558007272","บจ.ดีบีที (ไทยแลนด์) จำกัด"
"2","107558000016","บมจ.โตโย บิซิเนส เซอร์วิส จำกัด(มหาชน)"
"2","105558010419","บจ.ฮีโน่ เมคคานิคอล (ประเทศไทย) จำกัด"
"2","105558018495","บจ.ไอนุ เรสเตอรองท์ จำกัด"
"2","105558005351","บจ.โคบายาชิ คานากาตะ (ไทยแลนด์) จำกัด"
"2","105558001240","บจ.เพซ อินทีเรีย เซอร์วิสเซส จำกัด"
"2","105558013680","บจ.อิ-ฮุย ทรัพยากรหมุนเวียน จำกัด"
"2","105558016379","บจ.ศิริประชา พร็อพเพอร์ตี้ ดีเวลลอปเม้นท์ จำกัด"
"2","105558007248","บจ.แอสคอน บิสซิเนส ดีเวลลอปเม้นท์ จำกัด"
"2","105558005598","บจ.เดอะ เกท เอเซีย จำกัด"
"2","105558000511","บจ.อินคริเม้นท์ พี เอเซีย จำกัด"
"2","105558011067","บจ.ชาเขียว จำกัด"
"2","103558000497","หจ.ชัวร์กู๊ด เทรดดิ้ง"
"2","105558000529","บจ.โอไมครอน เอ็นจิเนียริ่ง จำกัด"
"2","105558011512","บจ.ดีท้อปพร้อพเพอร์ตี้ จำกัด"
"2","105558005385","บจ.คาร์แมกซ์ พระราม 9 กรุ๊ป (ไทยแลนด์) จำกัด"
"2","105558013329","บจ.มารูโต้ (ประเทศไทย) จำกัด"
"2","105558004214","บจ.ยูนิเวนเจอร์ รีท แมเนจเม้นท์ จำกัด"
"2","105558002114","บจ.พรีเมี่ยมเวชภัณฑ์ 4453 จำกัด"
"2","105558001053","บจ.คอมาว (ประเทศไทย) จำกัด"
"2","105558003714","บจ.ชิราสึกิ (ประเทศไทย) จำกัด"
"2","105558005652","บจ.อินาบะ รับเบอร์ (ประเทศไทย) จำกัด"
"2","105558008724","บจ.ฟู้ดสวัสดี จำกัด"
"2","105558007949","บจ.เทารา อินโนวิชั่น จำกัด"
"2","105558012152","บจ.พญาอินทรี ลาดกระบัง จำกัด"
"2","105558005555","บจ.สินมาไพบูลย์ ปิโตรเลียม จำกัด"
"2","105558010273","บจ.เชียงไท่ปาร์ติเคิลบอร์ด จำกัด"
"2","105558009500","บจ.ซีเอ็มโอ ทีวัน เอเชีย คอร์ปอเรชั่น จำกัด"
"2","105558010362","บจ.เทคโน โฮลดิ้ง จำกัด"
"2","103558000667","หจ.เอ็มเจเอดรีมบิวเดอร์ส"
"2","105558007264","บจ.เจอาร์เอ็ม (ประเทศไทย) จำกัด"
"2","105558013621","บจ.ถลาง เอสเตท จำกัด"
"2","105558017278","บจ.เซกิซุย แพลนท์ (ประเทศไทย) จำกัด"
"2","105558000987","บจ.ตงเหมิน อินเตอร์เนชั่นแนล โฮลดิ้งกรุ๊ป (ประเทศไทย) จำกัด"
"2","105558013787","บจ.มิเนอรัล คอนซัลติ้ง กรุ๊ป จำกัด"
"2","105558000260","บจ.ไพโอแวน เซ้าท์ อีสต์ เอเซีย จำกัด"
"2","105558009968","บจ.เหมือนแท้ คอร์เปอร์เรชั่น จำกัด"
"2","105558010206","บจ.เดอะ ต๊าจ รอยัล อินเดีย จำกัด"
"2","103558001540","หจ.คริสตัล แฟชั่น เทรดดิ้ง"
"2","105558006853","บจ.ปิยเพชร คอนสตรัคชั่น แอนด์ อินทีเรีย จำกัด"
"2","105558015372","บจ.จาร์ดีน ชิปปิ้ง เซอร์วิสเซส (ประเทศไทย) จำกัด"
"2","105558005644","บจ.แอฟโพรโซน (ไทยแลนด์) จำกัด"
"2","105558000961","บจ.วีอาร์ที ซอฟท์แวร์ จำกัด"
"2","105558012322","บจ.กิตติสัมพันธ์ คอนกรีต (2558) จำกัด"
"2","105558011768","บจ.บางปู คัตติ้ง ทูลส์ (ประเทศไทย) จำกัด"
"2","105558014503","บจ.บาร์ล็อกซ์ ล็อก จำกัด"
"2","105558016484","บจ.ปุคซินี จำกัด"
"2","105558018673","บจ.จีโอมาร์ (ไทยแลนด์) จำกัด"
"2","105558008775","บจ.ไทยเจตนาก่อสร้าง จำกัด"
"2","105558016816","บจ.ขุมทรัพย์สิบแสน จำกัด"
"2","105558004184","บจ.สยามซิตี้เซอร์วิส จำกัด"
"2","105558013141","บจ.ฟอร์ เน็กซ์ เจ็น จำกัด"
"2","105558004273","บจ.คอร์ซ่า โมโต จำกัด"
"2","105558005571","บจ.อายลิ้งค์ วิชั่น จำกัด"
"2","105558014953","บจ.เสียน หวา อินเตอร์เนชั่นแนล จำกัด"
"2","105558010061","บจ.นครศรีซีโรเวซท์ จำกัด"
"2","105558000171","บจ.โซลเมท อินเตอร์เนชั่นแนล จำกัด"
"2","105558003170","บจ.บี.เอ็ม.ฟาร์มาซูติคอล จำกัด"
"2","105558003587","บจ.ไพร์ม ทัช จำกัด"
"2","105558004117","บจ.สไปซ์ ช็อป บาย เดอะ โพสท์ บางกอก จำกัด"
"2","105558009054","บจ.วี.ดี กรุ๊ป อินเตอร์เนชั่นแนล จำกัด"
"2","105558011393","บจ.ปลื้มวิจิตร (2015) จำกัด"
"2","105558012021","บจ.เพย์ ออล จำกัด"
"2","105558018151","บจ.ฟาร์มมิลี่มิลค์ กรุ๊ป จำกัด"
"2","105558007388","บจ.เกรทเทสท์ เพ็ทแคร์ จำกัด"